,ind,Species,Start_UTC,End_UTC,Foraging1,Foraging2,pre.Foraging1,abl.Foraging1,akw.Foraging1,Session,HPAS_order,KW_order,maxRL,weights
13,sw08_152a,SW,31/05/2008 23:48,01/06/2008 00:35,0.809106873,0.809106873,0.820296983,0.718923597,0.349821075,Baseline,0,0,NA,0.762166667
131,sw08_152a,SW,01/06/2008 00:35,01/06/2008 01:35,0.828843333,0.828843333,0.820296983,0.718923597,0.349821075,Baseline,0,0,NA,1
15,sw08_152a,SW,01/06/2008 04:11,01/06/2008 05:10,0.049769955,0.337824177,0.820296983,0.718923597,0.349821075,LFAS,1,0,159.0790761,0.983611111
171,sw09_141a,SW,21/05/2009 09:18,21/05/2009 10:18,0.527565556,0.527565556,0.321602839,0.718923597,0.349821075,Baseline,0,0,NA,1
172,sw09_141a,SW,21/05/2009 10:18,21/05/2009 11:18,0.116676667,0.116676667,0.321602839,0.718923597,0.349821075,Baseline,0,0,NA,1
173,sw09_141a,SW,21/05/2009 11:18,21/05/2009 12:18,0.316676667,0.416676667,0.321602839,0.718923597,0.349821075,Baseline,0,0,NA,1
18,sw09_141a,SW,21/05/2009 12:19,21/05/2009 12:58,1.00E-05,0.102574103,0.321602839,0.718923597,0.349821075,LFAS,1,0,168.8894138,0.65
20,sw09_141a,SW,21/05/2009 15:53,21/05/2009 16:57,0.708551667,0.755426667,0.321602839,0.718923597,0.349821075,No-sonar,0,0,NA,1.066666667
21,sw09_141a,SW,21/05/2009 19:02,21/05/2009 19:23,0.359884608,0.547972382,0.321602839,0.718923597,0.349821075,PB-mammal,0,1,NA,0.354444444
23,sw09_142a,SW,22/05/2009 17:24,22/05/2009 18:10,0.865168439,0.865168439,0.860179538,0.718923597,0.349821075,Baseline,0,0,NA,0.741611111
231,sw09_142a,SW,22/05/2009 18:10,22/05/2009 19:10,0.816676667,0.816676667,0.860179538,0.718923597,0.349821075,Baseline,0,0,NA,1
232,sw09_142a,SW,22/05/2009 19:10,22/05/2009 20:10,0.90001,0.90001,0.860179538,0.718923597,0.349821075,Baseline,0,0,NA,1
24,sw09_142a,SW,22/05/2009 20:10,22/05/2009 20:45,0.857152857,0.857152857,0.860179538,0.718923597,0.349821075,No-sonar,0,0,NA,0.583333333
25,sw09_142a,SW,22/05/2009 21:48,22/05/2009 22:30,1.00E-05,0.333343333,0.860179538,0.718923597,0.349821075,LFAS,1,0,164.9804926,0.7
27,sw09_142a,SW,23/05/2009 02:34,23/05/2009 02:53,1.00E-05,1.00E-05,0.860179538,0.718923597,0.349821075,PB-mammal,0,1,NA,0.316666667
32,sw09_160a,SW,09/06/2009 09:04,09/06/2009 09:20,1,1,0.805108216,0.718923597,0.349821075,Baseline,0,0,NA,0.249666667
321,sw09_160a,SW,09/06/2009 09:20,09/06/2009 10:20,0.60001,0.816676667,0.805108216,0.718923597,0.349821075,Baseline,0,0,NA,1
322,sw09_160a,SW,09/06/2009 10:20,09/06/2009 11:20,0.866676667,0.866676667,0.805108216,0.718923597,0.349821075,Baseline,0,0,NA,1
323,sw09_160a,SW,09/06/2009 11:20,09/06/2009 12:20,0.90001,0.90001,0.805108216,0.718923597,0.349821075,Baseline,0,0,NA,1
